pic	r1&r2	r1|r2	iou
1.png	10714.0	12592.0	0.8508576874205845
10.png	1657.0	2491.0	0.665194700923324
100.png	4387.0	8789.0	0.49914666059847534
1000.png	4064.0	6079.0	0.6685310083895377
101.png	7670.0	9295.0	0.8251748251748252
102.png	7460.0	8846.0	0.843319014243726
103.png	5459.0	8384.0	0.6511211832061069
104.png	6559.0	7942.0	0.8258625031478217
105.png	5053.0	8096.0	0.6241353754940712
106.png	12294.0	15122.0	0.8129877000396772
107.png	12728.0	14292.0	0.8905681500139938
108.png	747.0	1236.0	0.6043689320388349
109.png	3171.0	4463.0	0.7105086264844275
11.png	6280.0	11631.0	0.5399363769237383
110.png	5172.0	7031.0	0.7355994879817949
111.png	8088.0	10193.0	0.7934857254978908
112.png	5729.0	7529.0	0.7609244255545226
113.png	5704.0	7086.0	0.8049675416313858
114.png	10201.0	11907.0	0.8567229360880154
115.png	8758.0	12954.0	0.6760846070711749
116.png	2832.0	5662.0	0.5001766160367361
117.png	9834.0	12290.0	0.8001627339300245
118.png	6366.0	9817.0	0.6484669450952429
119.png	3788.0	6001.0	0.6312281286452258
12.png	2448.0	4565.0	0.5362541073384447
120.png	6722.0	8310.0	0.8089049338146811
121.png	3821.0	6082.0	0.6282472870766196
122.png	7976.0	10974.0	0.7268088208492801
123.png	2377.0	3947.0	0.6022295414238662
124.png	4355.0	6292.0	0.6921487603305785
125.png	11157.0	12522.0	0.890991854336368
126.png	4150.0	7247.0	0.572650752035325
127.png	5977.0	8283.0	0.7215984546661838
128.png	12175.0	13911.0	0.8752066709798002
129.png	8605.0	9985.0	0.8617926890335503
13.png	118.0	814.0	0.14496314496314497
130.png	7571.0	8748.0	0.8654549611339735
131.png	3842.0	5209.0	0.7375695910923402
132.png	9647.0	11962.0	0.8064704898846347
133.png	7667.0	9308.0	0.823700042973786
134.png	5084.0	6281.0	0.809425250756249
135.png	1358.0	1840.0	0.7380434782608696
136.png	6544.0	9465.0	0.6913893291072372
137.png	4702.0	7292.0	0.6448162369720242
138.png	2564.0	3078.0	0.8330084470435347
139.png	294.0	4737.0	0.06206459784673844
14.png	5967.0	7274.0	0.8203189441847677
140.png	5478.0	6909.0	0.7928788536691272
141.png	1178.0	2171.0	0.5426070935052971
142.png	2766.0	5084.0	0.544059795436664
143.png	1433.0	2424.0	0.5911716171617162
144.png	3160.0	3951.0	0.7997975196152872
145.png	4244.0	5984.0	0.7092245989304813
146.png	2519.0	2850.0	0.883859649122807
147.png	3458.0	6446.0	0.5364567173440894
148.png	2710.0	3718.0	0.7288864981172674
149.png	1298.0	1563.0	0.8304542546385156
15.png	6487.0	8642.0	0.7506364267530664
150.png	4375.0	5355.0	0.8169934640522876
151.png	3545.0	4448.0	0.7969874100719424
152.png	6383.0	7264.0	0.8787169603524229
153.png	4647.0	6605.0	0.703557910673732
154.png	5448.0	8012.0	0.6799800299550673
155.png	6586.0	7579.0	0.8689800765272463
156.png	4413.0	7958.0	0.5545363156572003
158.png	7554.0	9434.0	0.8007207971168115
159.png	4809.0	6462.0	0.744196843082637
16.png	6806.0	9192.0	0.7404264577893821
160.png	12188.0	13171.0	0.9253663351302103
161.png	8363.0	10141.0	0.8246721230647865
162.png	7239.0	9473.0	0.7641718568563285
163.png	4525.0	6261.0	0.7227279987222488
164.png	4331.0	6549.0	0.661322339288441
165.png	14881.0	17423.0	0.8541009011077312
166.png	7079.0	9580.0	0.7389352818371607
167.png	5981.0	7650.0	0.7818300653594771
168.png	1887.0	3374.0	0.5592768227623
169.png	321.0	1336.0	0.2402694610778443
17.png	2166.0	3451.0	0.6276441611127209
170.png	1908.0	3804.0	0.501577287066246
171.png	913.0	1188.0	0.7685185185185185
172.png	8738.0	12515.0	0.6982021574111067
173.png	844.0	3961.0	0.21307750568038375
174.png	7784.0	13885.0	0.5606049693914296
175.png	4493.0	5260.0	0.8541825095057034
176.png	7836.0	9564.0	0.8193224592220828
177.png	1980.0	3428.0	0.5775962660443408
178.png	14424.0	16038.0	0.8993640104751216
179.png	3233.0	4499.0	0.718604134252056
18.png	1977.0	3021.0	0.6544190665342602
180.png	1584.0	4035.0	0.3925650557620818
181.png	1747.0	2593.0	0.673736984188199
182.png	3264.0	4355.0	0.7494833524684271
183.png	1732.0	5287.0	0.32759599016455454
184.png	496.0	1722.0	0.2880371660859466
185.png	493.0	1904.0	0.25892857142857145
186.png	2035.0	3704.0	0.5494060475161987
187.png	404.0	971.0	0.4160659114315139
188.png	9030.0	12385.0	0.729107791683488
189.png	937.0	1848.0	0.5070346320346321
19.png	694.0	1801.0	0.38534147695724597
190.png	6220.0	8429.0	0.7379285799027168
191.png	8458.0	10529.0	0.8033051571849178
192.png	4453.0	6021.0	0.7395781431655871
193.png	2297.0	3258.0	0.7050337630448128
194.png	4544.0	5695.0	0.797892888498683
195.png	1032.0	2738.0	0.3769174579985391
196.png	1284.0	1961.0	0.6547679755226925
197.png	524.0	1466.0	0.35743519781718963
198.png	2165.0	5703.0	0.3796247588988252
